ISSN,Title,Business Model,USD,EUR,GBP,JPY,ASJC Code(S)
2543-3431,Journal d'imagerie diagnostique et interventionnelle,Hybrid,2000.00,"1,820","1,600","242,020",No Match
1878-786X,Journal de Chirurgie Viscérale,Hybrid,2300.00,"2,100","1,840","278,320",No Match
0021-7824,Journal de Mathématiques Pures et Appliquées,Hybrid,2570.00,"2,340","2,060","311,000",No Match
0987-7983,Journal de Pédiatrie et de Puériculture,Hybrid,2040.00,"1,860","1,630","246,860",No Match
0762-915X,Journal de Traumatologie du Sport,Hybrid,2240.00,"2,040","1,790","271,060",No Match
2211-4238,Journal Européen des Urgences et de Réanimation,Hybrid,2190.00,"2,000","1,750","265,010",No Match
1617-1381,Journal for Nature Conservation,Hybrid,2560.00,"2,330","2,050","309,790",No Match
0181-5512,Journal Français d'Ophtalmologie,Hybrid,2740.00,"2,500","2,190","331,570",No Match
1091-8531,Journal of American Association for Pediatric Ophthalmology and Strabismus,Hybrid,3000.00,"2,740","2,400","363,030",No Match
0165-4101,Journal of Accounting and Economics,Hybrid,4050.00,"3,690","3,240","490,090",No Match
0278-4254,Journal of Accounting and Public Policy,Hybrid,3170.00,"2,890","2,540","383,600",No Match
0748-5751,Journal of Accounting Education,Hybrid,3800.00,"3,470","3,040","459,840",No Match
1054-139X,Journal of Adolescent Health,Hybrid,3270.00,"2,980","2,620","395,700",No Match
2666-3309,Journal of Advanced Joining Processes,Open access,2350.00,"2,140","1,880","284,370",No Match
2090-1232,Journal of Advanced Research,Open access,4000.00,"3,650","3,200","484,040",No Match
0021-8502,Journal of Aerosol Science,Hybrid,2640.00,"2,410","2,110","319,470",No Match
0165-0327,Journal of Affective Disorders,Hybrid,3510.00,"3,200","2,810","424,750",No Match
2666-9153,Journal of Affective Disorders Reports,Open access,2560.00,"2,330","2,050","309,790",No Match
1464-343X,Journal of African Earth Sciences,Hybrid,2980.00,"2,720","2,390","360,610",No Match
0890-4065,Journal of Aging Studies,Hybrid,3240.00,"2,960","2,590","392,070",No Match
2666-1543,Journal of Agriculture and Food Research,Open access,2190.00,"2,000","1,750","265,010",No Match
0969-6997,Journal of Air Transport Management,Hybrid,3050.00,"2,780","2,440","369,080",No Match
0021-8693,Journal of Algebra,Hybrid,3140.00,"2,860","2,510","379,970",No Match
0091-6749,Journal of Allergy and Clinical Immunology,Hybrid,4000.00,"3,650","3,200","484,040",No Match
2772-8293,Journal of Allergy and Clinical Immunology: Global,Open access,2000.00,"1,820","1,600","242,020",No Match
2950-3124,Journal of Allergy and Hypersensitivity Diseases,Open access,2410.00,"2,200","1,930","291,630",No Match
0925-8388,Journal of Alloys and Compounds,Hybrid,3550.00,"3,240","2,840","429,590",No Match
2949-9178,Journal of Alloys and Metallurgical Systems,Open access,1500.00,"1,370","1,200","181,520",No Match
0165-2370,Journal of Analytical and Applied Pyrolysis,Hybrid,3400.00,"3,100","2,720","411,430",No Match
2957-3912,Journal of Anesthesia and Translational Medicine,Subsidised,**,**,**,**,No Match
0278-4165,Journal of Anthropological Archaeology,Hybrid,3270.00,"2,980","2,620","395,700",No Match
0887-6185,Journal of Anxiety Disorders,Hybrid,4340.00,"3,960","3,470","525,180",No Match
0193-3973,Journal of Applied Developmental Psychology,Hybrid,3420.00,"3,120","2,740","413,850",No Match
0926-9851,Journal of Applied Geophysics,Hybrid,3090.00,"2,820","2,470","373,920",No Match
1056-6171,Journal of Applied Poultry Research,Open access,2300.00,"2,100","1,840","278,320",No Match
2214-7861,Journal of Applied Research on Medicinal and Aromatic Plants,Hybrid,3050.00,"2,780","2,440","369,080",No Match
0021-9045,Journal of Approximation Theory,Hybrid,2830.00,"2,580","2,270","342,460",No Match
0305-4403,Journal of Archaeological Science,Hybrid,3920.00,"3,580","3,140","474,360",No Match
2352-409X,Journal of Archaeological Science: Reports,Hybrid,2770.00,"2,530","2,220","335,200",No Match
0140-1963,Journal of Arid Environments,Hybrid,3070.00,"2,800","2,460","371,500",No Match
0883-5403,The Journal of Arthroplasty,Hybrid,4380.00,"3,990","3,510","530,020",No Match
2287-884X,Journal of Asia-Pacific Biodiversity,Subsidised,**,**,**,**,No Match
1226-8615,Journal of Asia-Pacific Entomology,Hybrid,3000.00,"2,740","2,400","363,030",No Match
1367-9120,Journal of Asian Earth Sciences,Hybrid,3230.00,"2,950","2,590","390,860",No Match
2590-0560,Journal of Asian Earth Sciences: X,Open access,2400.00,"2,190","1,920","290,420",No Match
1049-0078,Journal of Asian Economics,Hybrid,3100.00,"2,830","2,480","375,130",No Match
1364-6826,Journal of Atmospheric and Solar-Terrestrial Physics,Hybrid,2690.00,"2,450","2,150","325,520",No Match
0896-8411,Journal of Autoimmunity,Hybrid,5220.00,"4,760","4,180","631,670",No Match
2949-8554,Journal of Automation and Intelligence,Subsidised,**,**,**,**,No Match
0975-9476,Journal of Ayurveda and Integrative Medicine,Open access,1800.00,"1,640","1,440","217,820",No Match
0378-4266,Journal of Banking & Finance,Hybrid,3240.00,"2,960","2,590","392,070",No Match
0005-7916,Journal of Behavior Therapy and Experimental Psychiatry,Hybrid,2990.00,"2,730","2,390","361,820",No Match
2589-9791,Journal of Behavioral and Cognitive Therapy,Hybrid,1500.00,"1,370","1,200","181,520",No Match
2214-8043,Journal of Behavioral and Experimental Economics,Hybrid,2670.00,"2,440","2,140","323,100",No Match
2214-6350,Journal of Behavioral and Experimental Finance,Hybrid,4010.00,"3,660","3,210","485,250",No Match
0021-9258,Journal of Biological Chemistry,Open access,2800.00,"2,550","2,240","338,830",No Match
0021-9290,Journal of Biomechanics,Hybrid,3420.00,"3,120","2,740","413,850",No Match
1532-0464,Journal of Biomedical Informatics,Hybrid,3160.00,"2,880","2,530","382,390",No Match
2369-9698,Journal of Bioresources and Bioproducts,Subsidised,990.00,900,790,"119,800",No Match
2588-9338,Journal of Biosafety and Biosecurity,Subsidised,500.00,460,400,"60,510",No Match
1389-1723,Journal of Bioscience and Bioengineering,None,**,**,**,**,No Match
0168-1656,Journal of Biotechnology,Hybrid,4160.00,"3,790","3,330","503,400",No Match
1360-8592,Journal of Bodywork and Movement Therapies,Hybrid,2880.00,"2,630","2,310","348,510",No Match
2212-1374,Journal of Bone Oncology,Open access,2910.00,"2,650","2,330","352,140",No Match
2352-7102,Journal of Building Engineering,Hybrid,3490.00,"3,180","2,790","422,320",No Match
0148-2963,Journal of Business Research,Hybrid,3930.00,"3,580","3,150","475,570",No Match
0883-9026,Journal of Business Venturing,Hybrid,4010.00,"3,660","3,210","485,250",No Match
2667-2774,Journal of Business Venturing Design,Hybrid,2000.00,"1,820","1,600","242,020",No Match
2352-6734,Journal of Business Venturing Insights,Hybrid,2890.00,"2,850","2,500","349,720",No Match
2213-5383,Journal of Cancer Policy,Hybrid,2640.00,"2,410","2,110","319,470",No Match
1071-9164,Journal of Cardiac Failure,Hybrid,3700.00,"3,370","2,960","447,740",No Match
0914-5087,Journal of Cardiology,Hybrid,3000.00,"2,740","2,400","363,030",No Match
1878-5409,Journal of Cardiology Cases,Hybrid,1500.00,"1,370","1,200","181,520",No Match
1053-0770,Journal of Cardiothoracic and Vascular Anesthesia,Hybrid,3350.00,"3,060","2,680","405,380",No Match
1934-5925,Journal of Cardiovascular Computed Tomography,Hybrid,3340.00,"3,050","2,670","404,170",No Match
1097-6647,Journal of Cardiovascular Magnetic Resonance,Open access,3000.00,"2,740","2,400","363,030",No Match
2667-2545,Journal of Cartilage & Joint Preservation,Open access,1250.00,"1,140","1,000","151,260",No Match
0021-9517,Journal of Catalysis,Hybrid,4030.00,"3,680","3,230","487,670",No Match
0733-5210,Journal of Cereal Science,Hybrid,3710.00,"3,380","2,970","448,950",No Match
1556-3499,Journal of Chiropractic Humanities,Hybrid,3000.00,"2,740","2,400","363,030",No Match
1556-3707,Journal of Chiropractic Medicine,Hybrid,3300.00,"3,010","2,640","399,330",No Match
1755-5345,Journal of Choice Modelling,Hybrid,3000.00,"2,740","2,400","363,030",No Match
0021-9673,Journal of Chromatography A,Hybrid,3740.00,"3,410","2,990","452,580",No Match
1570-0232,Journal of Chromatography B,Hybrid,3430.00,"3,130","2,750","415,060",No Match
2772-3917,Journal of Chromatography Open,Open access,2300.00,"2,100","1,840","278,320",No Match
0959-6526,Journal of Cleaner Production,Hybrid,4390.00,"4,000","3,510","531,230",No Match
2949-7280,Journal of Climate Finance,Hybrid,2400.00,"2,190","1,920","290,420",No Match
0973-6883,Journal of Clinical and Experimental Hepatology,Hybrid,3150.00,"2,870","2,520","381,180",No Match
2214-6237,Journal of Clinical & Translational Endocrinology,Open access,3410.00,"3,110","2,730","412,640",No Match
2214-6245,Journal of Clinical and Translational Endocrinology: Case Reports,Open access,1230.00,"1,120",980,"148,840",No Match
0952-8180,Journal of Clinical Anesthesia,Hybrid,3870.00,"3,530","3,100","468,310",No Match
1094-6950,Journal of Clinical Densitometry,Hybrid,3000.00,"2,740","2,400","363,030",No Match
0895-4356,Journal of Clinical Epidemiology,Hybrid,4030.00,"3,680","3,230","487,670",No Match
1933-2874,Journal of Clinical Lipidology,Hybrid,3510.00,"3,200","2,810","424,750",No Match
0967-5868,Journal of Clinical Neuroscience,Hybrid,3720.00,"3,390","2,980","450,160",No Match
0976-5662,Journal of Clinical Orthopaedics and Trauma,Hybrid,3000.00,"2,740","2,400","363,030",No Match
2405-5794,Journal of Clinical Tuberculosis and Other Mycobacterial Diseases,Open access,2410.00,"2,200","1,930","291,630",No Match
1386-6532,Journal of Clinical Virology,Hybrid,3900.00,"3,560","3,120","471,940",No Match
2667-0380,Journal of Clinical Virology Plus,Open access,2260.00,"2,060","1,810","273,480",No Match
2213-297X,Journal of Co-operative Organization and Management,Hybrid,3630.00,"3,310","2,910","439,270",No Match
2212-9820,Journal of CO2 Utilization,Open access,3270.00,"2,980","2,620","395,700",No Match
0021-9797,Journal of Colloid and Interface Science,Hybrid,4140.00,"3,780","3,310","500,980",No Match
0097-3165,"Journal of Combinatorial Theory, Series A",Hybrid,3730.00,"3,400","2,990","451,370",No Match
0095-8956,"Journal of Combinatorial Theory, Series B",Hybrid,3840.00,"3,500","3,070","464,680",No Match
2405-8513,Journal of Commodity Markets,Hybrid,2810.00,"2,560","2,250","340,040",No Match
0021-9924,Journal of Communication Disorders,Hybrid,3760.00,"3,430","3,010","455,000",No Match
0147-5967,Journal of Comparative Economics,Hybrid,3510.00,"3,200","2,810","424,750",No Match
0021-9975,Journal of Comparative Pathology,Hybrid,3440.00,"3,140","2,750","416,270",No Match
0885-064X,Journal of Complexity,Hybrid,2530.00,"2,310","2,030","306,160",No Match
2772-8277,Journal of Computational Algebra,Open access,1810.00,"1,650","1,450","219,030",No Match
0377-0427,Journal of Computational and Applied Mathematics,Hybrid,3160.00,"2,880","2,530","382,390",No Match
2772-4158,Journal of Computational Mathematics and Data Science,Open access,1040.00,950,830,"125,850",No Match
0021-9991,Journal of Computational Physics,Hybrid,3860.00,"3,520","3,090","467,100",No Match
2590-0552,Journal of Computational Physics: X,Open access,1690.00,"1,540","1,350","204,510",No Match
1877-7503,Journal of Computational Science,Hybrid,3150.00,"2,870","2,520","381,180",No Match
0022-0000,Journal of Computer and System Sciences,Hybrid,2520.00,"2,300","2,020","304,950",No Match
2590-1184,Journal of Computer Languages,Hybrid,2520.00,"2,300","2,020","304,950",No Match
0143-974X,Journal of Constructional Steel Research,Hybrid,4180.00,"3,810","3,350","505,820",No Match
0169-7722,Journal of Contaminant Hydrology,Hybrid,3450.00,"3,150","2,760","417,480",No Match
1815-5669,Journal of Contemporary Accounting & Economics,Hybrid,3680.00,"3,360","2,950","445,320",No Match
2212-1447,Journal of Contextual Behavioral Science,Hybrid,3580.00,"3,270","2,870","433,220",No Match
0168-3659,Journal of Controlled Release,Hybrid,4310.00,"3,930","3,450","521,550",No Match
0929-1199,Journal of Corporate Finance,Hybrid,3830.00,"3,490","3,070","463,470",No Match
1010-5182,Journal of Cranio-Maxillofacial Surgery,Hybrid,3400.00,"3,100","2,720","411,430",No Match
2713-3745,Journal of Creativity,Open access,1560.00,"1,420","1,250","188,780",No Match
0047-2352,Journal of Criminal Justice,Hybrid,3750.00,"3,420","3,000","453,790",No Match
0883-9441,Journal of Critical Care,Hybrid,3500.00,"3,190","2,800","423,540",No Match
0022-0248,Journal of Crystal Growth,Hybrid,3020.00,"2,750","2,420","365,450",No Match
1296-2074,Journal of Cultural Heritage,Hybrid,2980.00,"2,720","2,390","360,610",No Match
2950-1059,Journal of Cycling and Micromobility Research,Open access,1800.00,"1,640","1,440","217,820",No Match
1569-1993,Journal of Cystic Fibrosis,Hybrid,4170.00,"3,800","3,340","504,610",No Match
0022-0302,Journal of Dairy Science,Open access,3500.00,"3,190","2,800","423,540",No Match
1991-7902,Journal of Dental Sciences,Open access,**,**,**,**,No Match
0300-5712,Journal of Dentistry,Hybrid,4040.00,"3,680","3,230","488,880",No Match
0923-1811,Journal of Dermatological Science,Hybrid,3730.00,"3,400","2,990","451,370",No Match
2212-571X,Journal of Destination Marketing & Management,Hybrid,4120.00,"3,760","3,300","498,560",No Match
0304-3878,Journal of Development Economics,Hybrid,4320.00,"3,940","3,460","522,760",No Match
1056-8727,Journal of Diabetes and its Complications,Hybrid,3480.00,"3,170","2,790","421,110",No Match
0022-0396,Journal of Differential Equations,Hybrid,3140.00,"2,860","2,510","379,970",No Match
2773-0670,Journal of Digital Economy,Subsidised,500.00,460,400,"60,510",No Match
1773-2247,Journal of Drug Delivery Science and Technology,Hybrid,3530.00,"3,220","2,830","427,170",No Match
2950-5763,Journal of Dynamic Disasters,Subsidised,**,**,**,**,No Match
0304-4076,Journal of Econometrics,Hybrid,4040.00,"3,680","3,230","488,880",No Match
0167-2681,Journal of Economic Behavior & Organization,Hybrid,2990.00,"2,730","2,390","361,820",No Match
0165-1889,Journal of Economic Dynamics and Control,Hybrid,3160.00,"2,880","2,530","382,390",No Match
0167-4870,Journal of Economic Psychology,Hybrid,3540.00,"3,230","2,830","428,380",No Match
0022-0531,Journal of Economic Theory,Hybrid,2810.00,"2,560","2,250","340,040",No Match
0148-6195,Journal of Economics and Business,Hybrid,2640.00,"2,410","2,110","319,470",No Match
2949-9488,Journal of Economy and Technology,Subsidised,500.00,460,400,"60,510",No Match
1572-6657,Journal of Electroanalytical Chemistry,Hybrid,3140.00,"2,860","2,510","379,970",No Match
0022-0736,Journal of Electrocardiology,Hybrid,2810.00,"2,560","2,250","340,040",No Match
1050-6411,Journal of Electromyography and Kinesiology,Hybrid,3350.00,"3,060","2,680","405,380",No Match
0368-2048,Journal of Electron Spectroscopy and Related Phenomena,Hybrid,3080.00,"2,810","2,470","372,710",No Match
1674-862X,Journal of Electronic Science and Technology,Subsidised,**,**,**,**,No Match
0304-3886,Journal of Electrostatics,Hybrid,2620.00,"2,390","2,100","317,050",No Match
0099-1767,Journal of Emergency Nursing,Hybrid,2500.00,"2,280","2,000","302,530",No Match
0927-5398,Journal of Empirical Finance,Hybrid,2850.00,"2,600","2,280","344,880",No Match
0099-2399,Journal of Endodontics,Hybrid,3990.00,"3,640","3,190","482,830",No Match
2949-8384,Journal of Endometriosis and Uterine Disorders,Open access,1530.00,"1,400","1,230","185,150",No Match
2095-4956,Journal of Energy Chemistry,Hybrid,3750.00,"3,420","3,000","453,790",No Match
2352-152X,Journal of Energy Storage,Hybrid,3150.00,"2,870","2,520","381,180",No Match
0923-4748,Journal of Engineering and Technology Management,Hybrid,2520.00,"2,300","2,020","304,950",No Match
2307-1877,Journal of Engineering Research,Open access,1100.00,"1,000",880,"133,110",No Match
1475-1585,Journal of English for Academic Purposes,Hybrid,3500.00,"3,190","2,800","423,540",No Match
2213-3437,Journal of Environmental Chemical Engineering,Hybrid,3250.00,"2,960","2,600","393,280",No Match
0095-0696,Journal of Environmental Economics and Management,Hybrid,3510.00,"3,200","2,810","424,750",No Match
0301-4797,Journal of Environmental Management,Hybrid,3620.00,"3,300","2,900","438,060",No Match
0272-4944,Journal of Environmental Psychology,Hybrid,4060.00,"3,700","3,250","491,300",No Match
0265-931X,Journal of Environmental Radioactivity,Hybrid,3580.00,"3,270","2,870","433,220",No Match
1001-0742,Journal of Environmental Sciences,Hybrid,3000.00,"2,740","2,400","363,030",No Match
2950-4333,Journal of Epidemiology and Population Health,Hybrid,2020.00,"1,840","1,620","244,440",No Match
2949-9054,Journal of Equine Rehabilitation,Open access,2000.00,"1,820","1,600","242,020",No Match
0737-0806,Journal of Equine Veterinary Science,Hybrid,3120.00,"2,850","2,500","377,550",No Match
0378-8741,Journal of Ethnopharmacology,Hybrid,3610.00,"3,290","2,890","436,850",No Match
1532-3382,Journal of Evidence Based Dental Practice,Hybrid,3730.00,"3,400","2,990","451,370",No Match
1728-869X,Journal of Exercise Science & Fitness,Open access,1150.00,"1,050",920,"139,160",No Match
1557-5063,Journal of Exotic Pet Medicine,Hybrid,3510.00,"3,200","2,810","424,750",No Match
0022-0965,Journal of Experimental Child Psychology,Hybrid,3340.00,"3,050","2,670","404,170",No Match
0022-0981,Journal of Experimental Marine Biology and Ecology,Hybrid,3120.00,"2,850","2,500","377,550",No Match
0022-1031,Journal of Experimental Social Psychology,Hybrid,3070.00,"2,800","2,460","371,500",No Match
1877-8585,Journal of Family Business Strategy,Hybrid,3560.00,"3,250","2,850","430,800",No Match
0304-405X,Journal of Financial Economics,Hybrid,4460.00,"4,070","3,570","539,700",No Match
1042-9573,Journal of Financial Intermediation,Hybrid,3840.00,"3,500","3,070","464,680",No Match
1386-4181,Journal of Financial Markets,Hybrid,2860.00,"2,610","2,290","346,090",No Match
1572-3089,Journal of Financial Stability,Hybrid,3370.00,"3,070","2,700","407,800",No Match
0094-730X,Journal of Fluency Disorders,Hybrid,3940.00,"3,590","3,150","476,780",No Match
0889-9746,Journal of Fluids and Structures,Hybrid,3630.00,"3,310","2,910","439,270",No Match
0022-1139,Journal of Fluorine Chemistry,Hybrid,3550.00,"3,240","2,840","429,590",No Match
0889-1575,Journal of Food Composition and Analysis,Hybrid,3190.00,"2,910","2,550","386,020",No Match
0260-8774,Journal of Food Engineering,Hybrid,4220.00,"3,850","3,380","510,660",No Match
0362-028X,Journal of Food Protection,Open access,2300.00,"2,100","1,840","278,320",No Match
1752-928X,Journal of Forensic and Legal Medicine,Hybrid,3870.00,"3,530","3,100","468,310",No Match
0022-1236,Journal of Functional Analysis,Hybrid,2880.00,"2,630","2,310","348,510",No Match
1756-4646,Journal of Functional Foods,Open access,2730.00,"2,490","2,190","330,360",No Match
2772-5669,Journal of Future Foods,Subsidised,**,**,**,**,No Match
1673-8527,Journal of Genetics and Genomics,Hybrid,3140.00,"2,860","2,510","379,970",No Match
0375-6742,Journal of Geochemical Exploration,Hybrid,3470.00,"3,160","2,780","419,900",No Match
0264-3707,Journal of Geodynamics,Hybrid,3370.00,"3,070","2,700","407,800",No Match
0393-0440,Journal of Geometry and Physics,Hybrid,3310.00,"3,020","2,650","400,540",No Match
1879-4068,Journal of Geriatric Oncology,Hybrid,3430.00,"3,130","2,750","415,060",No Match
1226-8453,Journal of Ginseng Research,Open access,**,**,**,**,No Match
2213-7165,Journal of Global Antimicrobial Resistance,Open access,1890.00,"1,720","1,510","228,710",No Match
2667-3193,Journal of Government and Economics,Open access,1650.00,"1,500","1,320","199,670",No Match
0380-1330,Journal of Great Lakes Research,Hybrid,2750.00,"2,510","2,200","332,780",No Match
2468-7847,Journal of Gynecology Obstetrics and Human Reproduction,Hybrid,2970.00,"2,710","2,380","359,400",No Match
0974-3227,Journal of Hand and Microsurgery,Hybrid,2600.00,"2,370","2,080","314,630",No Match
2589-5141,Journal of Hand Surgery Global Online,Open access,2500.00,"2,280","2,000","302,530",No Match
0894-1130,Journal of Hand Therapy,Hybrid,3400.00,"3,100","2,720","411,430",No Match
0304-3894,Journal of Hazardous Materials,Hybrid,4470.00,"4,080","3,580","540,910",No Match
2772-4166,Journal of Hazardous Materials Advances,Open access,1620.00,"1,480","1,300","196,040",No Match
2666-9110,Journal of Hazardous Materials Letters,Open access,2030.00,"1,850","1,630","245,650",No Match
0167-6296,Journal of Health Economics,Hybrid,4140.00,"3,780","3,310","500,980",No Match
0168-8278,Journal of Hepatology,Hybrid,5320.00,"4,850","4,260","643,770",No Match
2210-8033,Journal of Herbal Medicine,Hybrid,2400.00,"2,190","1,920","290,420",No Match
2214-4048,Journal of High Energy Astrophysics,Hybrid,2380.00,"2,170","1,910","288,000",No Match
0305-7488,Journal of Historical Geography,Hybrid,2160.00,"1,970","1,730","261,380",No Match
0195-6701,Journal of Hospital Infection,Hybrid,4000.00,"3,650","3,200","484,040",No Match
1447-6770,Journal of Hospitality and Tourism Management,Hybrid,3400.00,"3,100","2,720","411,430",No Match
1473-8376,"Journal of Hospitality, Leisure, Sport & Tourism Education",Hybrid,3400.00,"3,100","2,720","411,430",No Match
1051-1377,Journal of Housing Economics,Hybrid,3360.00,"3,060","2,690","406,590",No Match
0047-2484,Journal of Human Evolution,Hybrid,3870.00,"3,530","3,100","468,310",No Match
1570-6443,Journal of Hydro-environment Research,Hybrid,3000.00,"2,740","2,400","363,030",No Match
0022-1694,Journal of Hydrology,Hybrid,3790.00,"3,460","3,030","458,630",No Match
2589-9155,Journal of Hydrology X,Open access,2240.00,"2,040","1,790","271,060",No Match
2214-5818,Journal of Hydrology: Regional Studies,Open access,2290.00,"2,090","1,830","277,110",No Match
0022-1759,Journal of Immunological Methods,Hybrid,2750.00,"2,510","2,200","332,780",No Match
2468-4988,Journal of Immunology and Regenerative Medicine,Hybrid,3500.00,"3,190","2,800","423,540",No Match
1226-086X,Journal of Industrial and Engineering Chemistry,Hybrid,2500.00,"2,280","2,000","302,530",No Match
2452-414X,Journal of Industrial Information Integration,Hybrid,3370.00,"3,070","2,700","407,800",No Match
2950-2764,Journal of Industrial Safety,Subsidised,**,**,**,**,No Match
0163-4453,Journal of Infection,Open access,4030.00,"3,680","3,226","487,670",No Match
1341-321X,Journal of Infection and Chemotherapy,Hybrid,2650.00,"2,420","2,120","320,680",No Match
1876-0341,Journal of Infection and Public Health,Open access,2310.00,"2,110","1,850","279,530",No Match
2949-7159,Journal of Information and Intelligence,Open access,1980.00,"1,810","1,590","239,600",No Match
2214-2126,Journal of Information Security and Applications,Hybrid,3030.00,"2,760","2,430","366,660",No Match
1751-1577,Journal of Informetrics,Hybrid,3130.00,"2,850","2,510","378,760",No Match
2772-9915,Journal of Infrastructure Intelligence and Resilience,Open access,1600.00,"1,460","1,280","193,620",No Match
2444-569X,Journal of Innovation & Knowledge,Open access,2000.00,"1,820","1,600","242,020",No Match
0162-0134,Journal of Inorganic Biochemistry,Hybrid,4010.00,"3,660","3,210","485,250",No Match
0022-1910,Journal of Insect Physiology,Hybrid,3240.00,"2,960","2,590","392,070",No Match
2095-3119,Journal of Integrative Agriculture,Open access,**,**,**,**,No Match
2095-4964,Journal of Integrative Medicine,Hybrid,1800.00,"1,640","1,440","217,820",No Match
1061-9518,"Journal of International Accounting, Auditing and Taxation",Hybrid,3230.00,"2,950","2,590","390,860",No Match
0022-1996,Journal of International Economics,Hybrid,3990.00,"3,640","3,190","482,830",No Match
1042-4431,"Journal of International Financial Markets, Institutions and Money",Hybrid,2840.00,"2,590","2,270","343,670",No Match
1075-4253,Journal of International Management,Hybrid,3740.00,"3,410","2,990","452,580",No Match
0261-5606,Journal of International Money and Finance,Hybrid,3040.00,"2,770","2,430","367,870",No Match
2405-4526,Journal of Interprofessional Education & Practice,Hybrid,2820.00,"2,730","2,390","341,250",No Match
2096-3602,Journal of Interventional Medicine,Subsidised,**,**,**,**,No Match
0022-2011,Journal of Invertebrate Pathology,Hybrid,3480.00,"3,170","2,790","421,110",No Match
0022-202X,Journal of Investigative Dermatology,Hybrid,3400.00,"3,100","2,720","411,430",No Match
1087-0024,Journal of Investigative Dermatology Symposium Proceedings,Hybrid,3200.00,"2,920","2,560","387,230",No Match
2772-4220,Journal of Ionic Liquids,Open access,1450.00,"1,320","1,160","175,460",No Match
2059-7754,Journal of ISAKOS,Open access,1500.00,"1,370","1,200","181,520",No Match
2949-7051,Journal of Joint Surgery and Research,Open access,1770.00,"1,610","1,420","214,190",No Match
1319-1578,Journal of King Saud University - Computer and Information Sciences,Open access,1450.00,"1,320","1,160","175,460",No Match
1018-3639,Journal of King Saud University - Engineering Sciences,Subsidised,**,**,**,**,No Match
1018-3647,Journal of King Saud University - Science,Open access,1600.00,"1,460","1,280","193,620",No Match
0022-2275,Journal of Lipid Research,Open access,2800.00,"2,550","2,240","338,830",No Match
2666-9676,Journal of Liver Transplantation,Open access,2040.00,"1,860","1,630","246,860",No Match
2352-2208,Journal of Logical and Algebraic Methods in Programming,Hybrid,2530.00,"2,310","2,030","306,160",No Match
0950-4230,Journal of Loss Prevention in the Process Industries,Hybrid,3900.00,"3,560","3,120","471,940",No Match
0022-2313,Journal of Luminescence,Hybrid,2640.00,"2,410","2,110","319,470",No Match
0164-0704,Journal of Macroeconomics,Hybrid,2970.00,"2,710","2,380","359,400",No Match
2213-9567,Journal of Magnesium and Alloys,Subsidised,**,**,**,**,No Match
1090-7807,Journal of Magnetic Resonance,Hybrid,3400.00,"3,100","2,720","411,430",No Match
2666-4410,Journal of Magnetic Resonance Open,Open access,1740.00,"1,590","1,390","210,560",No Match
0304-8853,Journal of Magnetism and Magnetic Materials,Hybrid,3120.00,"2,850","2,500","377,550",No Match
2096-2320,Journal of Management Science and Engineering,Subsidised,**,**,**,**,No Match
0161-4754,Journal of Manipulative and Physiological Therapeutics,Hybrid,2900.00,"2,650","2,320","350,930",No Match
1526-6125,Journal of Manufacturing Processes,Hybrid,3300.00,"3,010","2,640","399,330",No Match
0278-6125,Journal of Manufacturing Systems,Hybrid,3600.00,"3,280","2,880","435,640",No Match
0924-7963,Journal of Marine Systems,Hybrid,3330.00,"3,040","2,670","402,960",No Match
2667-145X,Journal of Mass Spectrometry and Advances in the Clinical Lab,Open access,900.00,820,720,"108,910",No Match
0924-0136,Journal of Materials Processing Technology,Hybrid,3860.00,"3,520","3,090","467,100",No Match
2238-7854,Journal of Materials Research and Technology,Open access,1600.00,"1,460","1,280","193,620",No Match
1005-0302,Journal of Materials Science & Technology,Hybrid,3000.00,"2,740","2,400","363,030",No Match
2352-8478,Journal of Materiomics,Open access,1750.00,"1,600","1,400","211,770",No Match
0022-247X,Journal of Mathematical Analysis and Applications,Hybrid,3100.00,"2,830","2,480","375,130",No Match
0304-4068,Journal of Mathematical Economics,Hybrid,2630.00,"2,400","2,110","318,260",No Match
0022-2496,Journal of Mathematical Psychology,Hybrid,3280.00,"2,990","2,630","396,910",No Match
1939-8654,Journal of Medical Imaging and Radiation Sciences,Hybrid,2900.00,"2,650","2,320","350,930",No Match
1156-5233,Journal of Medical Mycology,Hybrid,2890.00,"2,640","2,320","349,720",No Match
2949-916X,Global Medicine and Healthcare,Open access,1850.00,"1,690","1,480","223,870",No Match
0376-7388,Journal of Membrane Science,Hybrid,4550.00,"4,150","3,640","550,600",No Match
2772-4212,Journal of Membrane Science Letters,Open access,1580.00,"1,440","1,260","191,200",No Match
0749-596X,Journal of Memory and Language,Hybrid,4410.00,"4,020","3,530","533,650",No Match
0167-7012,Journal of Microbiological Methods,Hybrid,2970.00,"2,710","2,380","359,400",No Match
1684-1182,"Journal of Microbiology, Immunology and Infection",Open access,2000.00,"1,820","1,600","242,020",No Match
2666-6235,Journal of Migration and Health,Open access,2600.00,"2,370","2,080","314,630",No Match
1553-4650,Journal of Minimally Invasive Gynecology,Hybrid,3000.00,"2,740","2,400","363,030",No Match
0022-2828,Journal of Molecular and Cellular Cardiology,Hybrid,3840.00,"3,500","3,070","464,680",No Match
2772-9761,Journal of Molecular and Cellular Cardiology Plus,Open access,1970.00,"1,800","1,580","238,390",No Match
